epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.318,0.97423,4.42633,1.01533,0.00733,0.94375,0.21468,0.14862,0.84006,4.73011,0.87885,0.000249213,0.000249213,0.000249213
2,812.41,1.00289,3.17085,1.00916,0.95017,0.04167,0.40523,0.2942,0.92188,4.45472,0.94196,0.000500541,0.000500541,0.000500541
3,984.905,1.03238,2.87843,1.03086,0.90211,0.25151,0.45966,0.37691,0.81308,3.91201,1.03157,0.000746794,0.000746794,0.000746794
4,1115.55,1.0597,2.38397,1.07628,0.60566,0.51164,0.51973,0.40952,0.76581,3.57688,1.03011,0.000746161,0.000746161,0.000746161
5,1349.92,1.02249,2.08122,1.05631,0.75927,0.44324,0.51639,0.43833,0.78279,4.6599,1.08874,0.000738548,0.000738548,0.000738548
6,1529.95,0.97863,1.94084,1.05253,0.59053,0.33864,0.46148,0.37845,0.6861,2.96589,0.96844,0.000730935,0.000730935,0.000730935
7,1701.85,0.9742,1.77575,1.04704,0.87862,0.51255,0.55749,0.47516,0.7319,1.99116,0.95507,0.000723321,0.000723321,0.000723321
8,1859.01,0.9817,1.73006,1.04542,0.97686,0.50266,0.52196,0.44282,0.81079,1.67332,0.97908,0.000715708,0.000715708,0.000715708
9,2088.87,0.97914,1.60773,1.04259,0.86427,0.39297,0.4203,0.34952,0.73889,1.76081,0.96308,0.000708095,0.000708095,0.000708095
10,2214.86,0.8865,1.44485,1.0033,0.92622,0.42185,0.46791,0.40116,0.70399,1.57673,0.95557,0.000700482,0.000700482,0.000700482
11,2556.25,0.92234,1.33187,1.0191,0.92707,0.34699,0.38146,0.3132,0.77003,2.15867,1.00314,0.000692869,0.000692869,0.000692869
12,3017.61,0.86193,1.30517,0.99763,0.912,0.35775,0.38025,0.33501,0.67104,1.68479,0.9374,0.000685256,0.000685256,0.000685256
13,3344.86,0.8646,1.25982,1.00154,0.92265,0.41617,0.4328,0.36324,0.68749,1.28339,0.92509,0.000677643,0.000677643,0.000677643
14,3806.03,0.81356,1.22983,0.96546,0.95859,0.20368,0.23711,0.20845,0.62332,1.58517,0.9,0.00067003,0.00067003,0.00067003
15,4182.42,0.80009,1.0882,0.97166,0.83947,0.3863,0.38163,0.33124,0.66577,1.21446,0.92995,0.000662417,0.000662417,0.000662417
16,4555.28,0.8022,1.06004,0.95167,0.8932,0.31176,0.36656,0.30823,0.67888,1.29636,0.93417,0.000654804,0.000654804,0.000654804
17,4928.64,0.84132,1.0342,0.99614,0.83146,0.66333,0.69191,0.62503,0.63194,1.17177,0.90713,0.00064719,0.00064719,0.00064719
18,5270.93,0.84144,1.02253,0.996,0.896,0.59416,0.63907,0.54268,0.79589,1.42164,0.93694,0.000639577,0.000639577,0.000639577
19,5671.31,0.81033,1.01873,0.94394,0.86118,0.49741,0.53832,0.45726,0.65193,1.30231,0.91537,0.000631964,0.000631964,0.000631964
20,6087.22,0.79394,0.94734,0.95351,0.89652,0.5134,0.5809,0.50512,0.66524,1.2694,0.93347,0.000624351,0.000624351,0.000624351
21,6563.54,0.78128,0.91151,0.95704,0.96359,0.74819,0.78703,0.67625,0.67392,0.98788,0.93699,0.000616738,0.000616738,0.000616738
22,7014.5,0.77564,0.86905,0.96709,0.92993,0.76926,0.79746,0.70682,0.63688,0.93042,0.92166,0.000609125,0.000609125,0.000609125
23,7613.33,0.76468,0.84388,0.95509,0.94613,0.74641,0.787,0.70776,0.62329,0.92282,0.92492,0.000601512,0.000601512,0.000601512
