epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.158,1.01214,4.48906,1.03556,0.00726,0.9875,0.1675,0.09162,0.82587,4.73812,0.88522,0.000249588,0.000249588,0.000249588
2,280.446,1.04357,3.20501,1.03442,0.95383,0.00962,0.37757,0.29757,0.70805,4.39192,0.89843,0.000500912,0.000500912,0.000500912
3,436.133,1.02717,2.81647,1.03895,0.59133,0.46701,0.56767,0.4464,0.85259,3.51527,0.97367,0.000747162,0.000747162,0.000747162
4,581.647,1.04428,2.34605,1.0473,0.79321,0.47681,0.60377,0.48784,0.78532,3.12309,0.97354,0.000746161,0.000746161,0.000746161
5,709.521,1.00898,2.14695,1.05029,0.78607,0.49151,0.59616,0.48791,0.78121,3.15783,0.9778,0.000738548,0.000738548,0.000738548
6,821.059,0.99728,1.95497,1.04481,0.67492,0.4822,0.54187,0.45621,0.74144,2.56107,0.99733,0.000730935,0.000730935,0.000730935
7,952.524,0.96642,1.85225,1.05448,0.81568,0.51676,0.53523,0.45176,0.76579,1.97302,0.97017,0.000723321,0.000723321,0.000723321
8,1107.09,0.92223,1.59477,1.02616,0.89613,0.48979,0.50299,0.43861,0.80318,1.72149,0.95855,0.000715708,0.000715708,0.000715708
9,1323.9,0.93715,1.59248,1.01649,0.853,0.42684,0.43573,0.37849,0.74265,1.80622,0.96592,0.000708095,0.000708095,0.000708095
10,1536.08,0.91193,1.43996,1.02572,0.78945,0.40973,0.4166,0.33253,0.95494,1.49917,0.99186,0.000700482,0.000700482,0.000700482
11,1725.16,0.90335,1.40738,1.01104,0.84498,0.52777,0.55795,0.47619,0.7836,1.40128,0.96763,0.000692869,0.000692869,0.000692869
12,1849.87,0.8776,1.30938,1.00605,0.91786,0.67755,0.723,0.57377,0.82552,1.43624,0.9485,0.000685256,0.000685256,0.000685256
13,2142.14,0.92684,1.33691,1.02898,0.76586,0.49905,0.58197,0.5059,0.74367,1.48031,0.98893,0.000677643,0.000677643,0.000677643
14,2417.17,0.88053,1.16516,1.00431,0.85176,0.38263,0.39605,0.33272,0.70271,1.19659,0.98712,0.00067003,0.00067003,0.00067003
