epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8529,0.45154,0.37946,0.86038,0.98027,0.89207,0.93278,0.84344,0.485,0.66993,0.86074,0.000249588,0.000249588,0.000249588
2,135.334,0.52701,0.41291,0.88266,0.96561,0.89008,0.94093,0.83454,0.51845,0.64176,0.87281,0.000455835,0.000455835,0.000455835
3,195.539,0.58199,0.45235,0.89883,0.97834,0.89103,0.91702,0.79605,0.60386,0.70956,0.92154,0.000611328,0.000611328,0.000611328
4,259.494,0.55709,0.46451,0.88374,0.96926,0.89044,0.92695,0.83142,0.52726,0.73987,0.88395,0.000540607,0.000540607,0.000540607
5,332.398,0.53776,0.43341,0.88931,0.96925,0.86392,0.92267,0.82815,0.52042,0.81118,0.87242,0.000464476,0.000464476,0.000464476
6,404.466,0.53807,0.42484,0.88165,0.96586,0.86457,0.93859,0.84281,0.53177,0.76058,0.89032,0.000388345,0.000388345,0.000388345
7,480.898,0.53809,0.41024,0.88299,0.96793,0.89032,0.93402,0.84138,0.52947,0.73502,0.89325,0.000312214,0.000312214,0.000312214
8,557.314,0.49672,0.37828,0.86991,0.95722,0.8901,0.9375,0.84285,0.53902,0.74197,0.91336,0.000236083,0.000236083,0.000236083
9,627.22,0.47028,0.35617,0.85527,0.96652,0.874,0.93362,0.84013,0.53367,0.66844,0.8955,0.000159952,0.000159952,0.000159952
10,704.42,0.47487,0.34818,0.85584,0.96939,0.87452,0.92515,0.83438,0.51464,0.62076,0.88396,8.3821e-05,8.3821e-05,8.3821e-05
